"","id","hillup_pod","gnlsup_pod","hilldown_pod","gnlsdown_pod","aic_ucnst","aic_uhill","aic_ugnls","aic_dcnst","aic_dhill","aic_dgnls","res.var_ucnst","res.var_uhill","res.var_ugnls","res.var_dcnst","res.var_dhill","res.var_dgnls","LL4_POD","LL4_AIC","LL4_RSS","LL4_PODSE"
"27","Dofetilide/C1orf112_24242",-1.083682669642,-1.08264377959082,NA,NA,32.2394344132808,24.6279369211807,28.6279368263181,32.2394344132808,NA,NA,0.181545176878539,0.11156661235392,0.111566612229616,0.181545176878539,NA,NA,-1.40738581619887,26.527785814584,2.87457127503851,0.519506856537559
"28","Dofetilide/C1S_20607",-1.27651622354725,-1.25413715293422,NA,NA,20.8867286020672,12.1197233660713,15.8452027555467,20.8867286020672,NA,NA,0.116026643612482,0.0719011087593814,0.0717224747321677,0.116026643612482,NA,NA,-1.11817132515107,14.691997663239,1.823359940396,0.26378153579634
"29","Dofetilide/CALM1_934",-1.34110061225015,-1.34128246911706,NA,NA,48.321314584365,48.9597591130328,52.9597588942285,48.321314584365,54.321314584863,57.82775507705,0.291873080608182,0.244927523317015,0.244927493199211,0.291873080608182,0.29187308061572,0.288266583769131,-1.71580672922122,46.77761336322,6.26352460434846,0.256299922461137
"30","Dofetilide/CALU_944",NA,NA,-1.03798712728053,-1.0173887452327,27.1017310696512,NA,NA,27.1017310696512,20.9693017438958,24.9495313042903,0.143703583136171,NA,NA,0.143703583136171,0.0952784483996701,0.0952992681912099,-1.09806589068692,22.6937638648213,2.4804528857354,NA
"31","Dofetilide/CAMK2B_26957",NA,NA,-1.4664434990644,-1.46643807495433,7.53585117083994,NA,NA,7.53585117083994,-9.6944527977392,-5.69445265795217,0.0867986981112021,NA,NA,0.0867986981112021,0.0273467102750152,0.0273466998843739,-1.70046866376889,-10.5964571657382,0.689387361387043,0.111796719822704
"32","Dofetilide/CASC3_973",-0.96315589127237,-0.975676097408583,NA,NA,55.3900029689043,55.615246830456,58.9037096844228,55.3900029689043,61.390002968515,65.3529946890834,0.425608819434796,0.359248203781904,0.35403238556284,0.425608819434796,0.425608819437406,0.422617054886722,-1.0902827676296,56.8271357743126,9.21896850263123,1.28751574343162
"33","Dofetilide/CBWD2_1009",NA,NA,-1.38765772377115,-1.26978171737705,4.8445418668655,NA,NA,4.8445418668655,1.33912772730249,2.86964350551061,0.0600381883237289,NA,NA,0.0600381883237289,0.0400459670154828,0.0375020110109497,-1.45765676940069,0.124486060709426,1.04121886491402,0.426637429194609
"34","Dofetilide/CCNA2_1050",-1.24874233196609,-1.24625880938142,NA,NA,51.3231562848669,43.2818526056332,47.2800177712726,51.3231562848669,NA,NA,0.365961291743912,0.229925562973774,0.229926902471085,0.365961291743912,NA,NA,-1.57986163938588,44.9366272308842,5.83535966782661,0.480203363894968
"35","Dofetilide/CCNB1_1053",-1.22601107530093,-1.21029891721096,NA,NA,31.4664586881292,23.9659189504228,27.7125379155579,31.4664586881292,NA,NA,0.171885240740707,0.110247881994877,0.109882054295243,0.171885240740707,NA,NA,-1.22042349916172,26.0277243144895,2.81981253780524,0.204102522493797
"36","Dofetilide/CCNB2_1057",-1.49955122759102,-1.44731320481221,NA,NA,47.5120972449446,34.1321279593556,37.4451280165623,47.5120972449446,NA,NA,0.345605922819859,0.173559440036297,0.171855921087348,0.345605922819859,NA,NA,-1.69110655998616,37.3633144664054,4.36079614779756,NA
